activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,36426,[],CHEMBL619313,In vitro cytotoxicity against human tumor A498 cell line (renal cancer),F,,,BAO_0000190,BAO_0000219,cell-based format,,,,CHEMBL1136742,J. Med. Chem.,2003.0,,CHEMBL11359,CISPLATIN,CHEMBL2068237,5.12,0,http://www.openphacts.org/units/Nanomolar,25279,=,1,1,=,,IC50,nM,,7500.0,CHEMBL614516,Homo sapiens,A498,9606,,,IC50,uM,UO_0000065,,7.5
,44807,[],CHEMBL619313,In vitro cytotoxicity against human tumor A498 cell line (renal cancer),F,,,BAO_0000190,BAO_0000219,cell-based format,,,,CHEMBL1136742,J. Med. Chem.,2003.0,,CHEMBL279877,[{cis-Pt(NH3)2Cl}2(-pdn)](NO3)2,CHEMBL279877,4.28,0,http://www.openphacts.org/units/Nanomolar,25278,=,1,1,=,,IC50,nM,,53000.0,CHEMBL614516,Homo sapiens,A498,9606,,,IC50,uM,UO_0000065,,53.0
,49899,[],CHEMBL619313,In vitro cytotoxicity against human tumor A498 cell line (renal cancer),F,,,BAO_0000190,BAO_0000219,cell-based format,,,,CHEMBL1136742,J. Med. Chem.,2003.0,,CHEMBL280204,[{cis-Pt(NH3)2Cl}2(-pzn)](NO3)2,CHEMBL280204,4.20,0,http://www.openphacts.org/units/Nanomolar,25281,=,1,1,=,,IC50,nM,,63500.0,CHEMBL614516,Homo sapiens,A498,9606,,,IC50,uM,UO_0000065,,63.5
,56138,[],CHEMBL619313,In vitro cytotoxicity against human tumor A498 cell line (renal cancer),F,,,BAO_0000190,BAO_0000219,cell-based format,,,,CHEMBL1136742,J. Med. Chem.,2003.0,,CHEMBL19930,Platinum complex,CHEMBL19930,4.26,0,http://www.openphacts.org/units/Nanomolar,25280,=,1,1,=,,IC50,nM,,54600.0,CHEMBL614516,Homo sapiens,A498,9606,,,IC50,uM,UO_0000065,,54.6
,63979,[],CHEMBL619313,In vitro cytotoxicity against human tumor A498 cell line (renal cancer),F,,,BAO_0000190,BAO_0000219,cell-based format,,,,CHEMBL1136742,J. Med. Chem.,2003.0,,CHEMBL19739,[{cis-Pt(NH3)2Cl}2(-pzn)]Cl2,CHEMBL19739,,0,http://www.openphacts.org/units/Nanomolar,25277,>,1,1,>,,IC50,nM,,54100.0,CHEMBL614516,Homo sapiens,A498,9606,,,IC50,uM,UO_0000065,,54.1
,109383,[],CHEMBL624425,In vitro antitumor activity against renal A498 tumor cell lines,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=C[C@H]2O[C@@H]3[C@H](O)[C@H]4OC(=O)/C=C\C=C\[C@H]([C@@H](C)O)OCC/C(C)=C/C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1,,,CHEMBL1145117,J. Med. Chem.,2003.0,,CHEMBL335838,,CHEMBL335838,8.05,0,http://www.openphacts.org/units/Nanomolar,263062,=,1,1,=,,IC50,nM,,9.0,CHEMBL614516,Homo sapiens,A498,9606,,,IC50,uM,UO_0000065,,0.009
,112125,[],CHEMBL624425,In vitro antitumor activity against renal A498 tumor cell lines,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=C[C@H]2O[C@@H]3[C@H](O)[C@H]4OC(=O)/C=C\C=C\[C@H]([C@H](C)O)OCC/C(C)=C/C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1,,,CHEMBL1145117,J. Med. Chem.,2003.0,,CHEMBL136268,RORIDIN L,CHEMBL136268,7.72,0,http://www.openphacts.org/units/Nanomolar,263074,=,1,1,=,,IC50,nM,,19.0,CHEMBL614516,Homo sapiens,A498,9606,,,IC50,uM,UO_0000065,,0.019
,114736,[],CHEMBL624425,In vitro antitumor activity against renal A498 tumor cell lines,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2,,,CHEMBL1145117,J. Med. Chem.,2003.0,,CHEMBL433680,ANGUIDIN,CHEMBL433680,,0,http://www.openphacts.org/units/Nanomolar,263065,<,1,1,<,,IC50,nM,,1.0,CHEMBL614516,Homo sapiens,A498,9606,,,IC50,uM,UO_0000065,,0.001
,116066,[],CHEMBL624425,In vitro antitumor activity against renal A498 tumor cell lines,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=C[C@H]2O[C@@H]3C[C@H]4OC(=O)/C=C\C=C\[C@H]([C@@H](C)O)OCC[C@@H](C)[C@H](O)C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1,,,CHEMBL1145117,J. Med. Chem.,2003.0,,CHEMBL334648,RORIDIN A,CHEMBL334648,6.50,0,http://www.openphacts.org/units/Nanomolar,263070,=,1,1,=,,IC50,nM,,316.0,CHEMBL614516,Homo sapiens,A498,9606,,,IC50,uM,UO_0000065,,0.316
,126133,[],CHEMBL624425,In vitro antitumor activity against renal A498 tumor cell lines,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=C[C@H]2O[C@@H]3[C@H](O)[C@H]4OC(=O)/C=C\C=C\[C@@H]5O[C@H](C/C(C)=C/C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1)O[C@H]5C,,,CHEMBL1145117,J. Med. Chem.,2003.0,,CHEMBL435984,RORIDIN M,CHEMBL435984,6.23,0,http://www.openphacts.org/units/Nanomolar,263064,=,1,1,=,,IC50,nM,,583.0,CHEMBL614516,Homo sapiens,A498,9606,,,IC50,uM,UO_0000065,,0.583
