activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,113898,[],CHEMBL619377,In vitro Growth Inhibitory activity against ACHN Human kidney cancer cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,Nc1ccc(-c2cc(=O)c3c(N)c(F)cc(F)c3o2)cc1F,,,CHEMBL1130063,J. Med. Chem.,1997.0,,CHEMBL54875,,CHEMBL54875,,0,http://www.openphacts.org/units/Nanomolar,96026,>,1,1,>,,IC50,nM,,1000.0,CHEMBL614519,Homo sapiens,ACHN,9606,,,IC50,uM,UO_0000065,,1.0
,161590,[],CHEMBL619373,Compound was evaluated for in vitro activity against ACHN kidney cell lines (Human tumor cells ),F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1c(CNc2ccc(C(=O)NC(CCCNC(=O)c3ccccc3C(=O)O)C(=O)O)cc2)cnc2nc(N)nc(N)c12,,,CHEMBL1131440,J. Med. Chem.,1998.0,,CHEMBL150607,,CHEMBL150607,9.41,0,http://www.openphacts.org/units/Nanomolar,293399,=,1,1,=,,IC50,nM,,0.39,CHEMBL614519,Homo sapiens,ACHN,9606,,,IC50,nM,UO_0000065,,0.39
,162839,[],CHEMBL621835,Compound was evaluated for in vitro activity against ACHN kidney cell lines (Human tumor cells ),F,,,BAO_0000190,BAO_0000219,cell-based format,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,,,CHEMBL1131440,J. Med. Chem.,1998.0,,CHEMBL34259,METHOTREXATE,CHEMBL34259,7.40,0,http://www.openphacts.org/units/Nanomolar,293392,=,1,1,=,,IC50,nM,,40.0,CHEMBL614519,Homo sapiens,ACHN,9606,,,IC50,nM,UO_0000065,,40.0
,167767,[],CHEMBL621835,Compound was evaluated for in vitro activity against ACHN kidney cell lines (Human tumor cells ),F,,,BAO_0000190,BAO_0000219,cell-based format,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2n1,,,CHEMBL1131440,J. Med. Chem.,1998.0,,CHEMBL18155,,CHEMBL18155,9.09,0,http://www.openphacts.org/units/Nanomolar,293397,=,1,1,=,,IC50,nM,,0.81,CHEMBL614519,Homo sapiens,ACHN,9606,,,IC50,nM,UO_0000065,,0.81
,347763,[],CHEMBL623594,Antitumor activity against human renal adenocarcinoma ACHN cells,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,,,CHEMBL1135654,J. Med. Chem.,2002.0,,CHEMBL53463,DOXORUBICIN,CHEMBL53463,7.40,0,http://www.openphacts.org/units/Nanomolar,290988,=,1,1,=,,IC50,nM,,40.0,CHEMBL614519,Homo sapiens,ACHN,9606,,,IC50,uM,UO_0000065,,0.04
,350438,[],CHEMBL623594,Antitumor activity against human renal adenocarcinoma ACHN cells,F,,,BAO_0000190,BAO_0000219,cell-based format,O=c1cc2sc3ccccc3nc-2c2cccnc12,,,CHEMBL1135654,J. Med. Chem.,2002.0,,CHEMBL348434,,CHEMBL348434,5.72,0,http://www.openphacts.org/units/Nanomolar,290984,=,1,1,=,,IC50,nM,,1920.0,CHEMBL614519,Homo sapiens,ACHN,9606,,,IC50,uM,UO_0000065,,1.92
,351845,[],CHEMBL623594,Antitumor activity against human renal adenocarcinoma ACHN cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,,,CHEMBL1135654,J. Med. Chem.,2002.0,,CHEMBL1554,DACTINOMYCIN,CHEMBL1554,8.30,0,http://www.openphacts.org/units/Nanomolar,290985,=,1,1,=,,IC50,nM,,5.0,CHEMBL614519,Homo sapiens,ACHN,9606,,,IC50,uM,UO_0000065,,0.005
,356316,[],CHEMBL623594,Antitumor activity against human renal adenocarcinoma ACHN cells,F,,,BAO_0000190,BAO_0000219,cell-based format,O=c1cc2oc3ccccc3nc-2c2cccnc12,,,CHEMBL1135654,J. Med. Chem.,2002.0,,CHEMBL151423,,CHEMBL151423,8.00,0,http://www.openphacts.org/units/Nanomolar,290983,=,1,1,=,,IC50,nM,,10.0,CHEMBL614519,Homo sapiens,ACHN,9606,,,IC50,uM,UO_0000065,,0.01
,391873,[],CHEMBL884008,"Compound was tested for antiproliferative activity against ACHN, human renal adenocarcinoma",F,,,BAO_0000190,BAO_0000219,cell-based format,NC(=O)c1csc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1,,,CHEMBL1130047,J. Med. Chem.,1997.0,,CHEMBL3143993,,CHEMBL3143993,4.10,0,http://www.openphacts.org/units/Nanomolar,80349,=,1,1,=,,IC50,nM,,79000.0,CHEMBL614519,Homo sapiens,ACHN,9606,,,IC50,uM,UO_0000065,,79.0
,395768,[],CHEMBL884008,"Compound was tested for antiproliferative activity against ACHN, human renal adenocarcinoma",F,,,BAO_0000190,BAO_0000219,cell-based format,NC(=O)c1c[se]c([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1,,,CHEMBL1130047,J. Med. Chem.,1997.0,,CHEMBL3143999,,CHEMBL3143999,5.00,0,http://www.openphacts.org/units/Nanomolar,80348,=,1,1,=,,IC50,nM,,9900.0,CHEMBL614519,Homo sapiens,ACHN,9606,,,IC50,uM,UO_0000065,,9.9
,416095,[],CHEMBL884008,"Compound was tested for antiproliferative activity against ACHN, human renal adenocarcinoma",F,,,BAO_0000190,BAO_0000219,cell-based format,NC(=O)c1csc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,,,CHEMBL1130047,J. Med. Chem.,1997.0,,CHEMBL108358,TIAZOFURIN,CHEMBL108358,,0,http://www.openphacts.org/units/Nanomolar,80347,>,1,1,>,,IC50,nM,,100000.0,CHEMBL614519,Homo sapiens,ACHN,9606,,,IC50,uM,UO_0000065,,100.0
