activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1709398,[],CHEMBL866879,Cytotoxicity against human KETR3 cells by MTT assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CO[C@]1(CC[C@H](C)CO)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2[C@@H]1C,,,CHEMBL1146980,Bioorg. Med. Chem. Lett.,2006,,CHEMBL427949,ICOGENIN,CHEMBL427949,5.29,0,http://www.openphacts.org/units/Nanomolar,460142,=,1,1,=,,IC50,nM,,5150.0,CHEMBL614637,Homo sapiens,KETR3,9606,,,IC50,uM,UO_0000065,,5.15
,1710345,[],CHEMBL866879,Cytotoxicity against human KETR3 cells by MTT assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CO[C@]1(CC[C@H](C)CO)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2[C@@H]1C,,,CHEMBL1146980,Bioorg. Med. Chem. Lett.,2006,,CHEMBL218913,,CHEMBL218913,5.42,0,http://www.openphacts.org/units/Nanomolar,460143,=,1,1,=,,IC50,nM,,3780.0,CHEMBL614637,Homo sapiens,KETR3,9606,,,IC50,uM,UO_0000065,,3.78
,2316726,[],CHEMBL996436,Cytotoxicity against human Ketr3 cells after 96 hrs by MTT assay,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc2oc(=O)c3cc(O)c(O)cc3c2c(=O)o1,,,CHEMBL1151203,J. Nat. Prod.,2004,,CHEMBL446850,PHELLIGRIDIN A,CHEMBL446850,,0,http://www.openphacts.org/units/Nanomolar,715015,>,1,1,>,,IC50,nM,,192.0,CHEMBL614637,Homo sapiens,KETR3,9606,,,IC50,uM,UO_0000065,,0.192
,2316727,[],CHEMBL996436,Cytotoxicity against human Ketr3 cells after 96 hrs by MTT assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=c1oc2cc(/C=C/c3ccc(O)cc3)oc(=O)c2c2cc(O)c(O)cc12,,,CHEMBL1151203,J. Nat. Prod.,2004,,CHEMBL520568,PHELLIGRIDIN C,CHEMBL520568,7.03,0,http://www.openphacts.org/units/Nanomolar,715016,=,1,1,=,,IC50,nM,,94.0,CHEMBL614637,Homo sapiens,KETR3,9606,,,IC50,uM,UO_0000065,,0.094
,2316728,[],CHEMBL996436,Cytotoxicity against human Ketr3 cells after 96 hrs by MTT assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=c1oc2cc(/C=C/c3ccc(O)c(O)c3)oc(=O)c2c2cc(O)c(O)cc12,,,CHEMBL1151203,J. Nat. Prod.,2004,,CHEMBL218423,PHELLIGRIDIN D,CHEMBL218423,7.05,0,http://www.openphacts.org/units/Nanomolar,715035,=,1,1,=,,IC50,nM,,90.0,CHEMBL614637,Homo sapiens,KETR3,9606,,,IC50,uM,UO_0000065,,0.09
,2316729,[],CHEMBL996436,Cytotoxicity against human Ketr3 cells after 96 hrs by MTT assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=CC(=O)C2(O1)C(c1cc3oc(=O)c4cc(O)c(O)cc4c3c(=O)o1)=Cc1cc(O)c(O)cc12,,,CHEMBL1151203,J. Nat. Prod.,2004,,CHEMBL236399,PHELLIGRIDIN E,CHEMBL236399,,0,http://www.openphacts.org/units/Nanomolar,715036,>,1,1,>,,IC50,nM,,105.0,CHEMBL614637,Homo sapiens,KETR3,9606,,,IC50,uM,UO_0000065,,0.105
,2316730,[],CHEMBL996436,Cytotoxicity against human Ketr3 cells after 96 hrs by MTT assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COC1(CC(C)=O)Oc2cc(/C=C/c3ccc(O)c(O)c3)oc(=O)c2/C1=C/c1ccc(O)c(O)c1,,,CHEMBL1151203,J. Nat. Prod.,2004,,CHEMBL488197,PHELLIGRIDIN F,CHEMBL488197,,0,http://www.openphacts.org/units/Nanomolar,715037,>,1,1,>,,IC50,nM,,104.0,CHEMBL614637,Homo sapiens,KETR3,9606,,,IC50,uM,UO_0000065,,0.104
,2316731,[],CHEMBL996436,Cytotoxicity against human Ketr3 cells after 96 hrs by MTT assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=CC(=O)C2(O1)c1c(cc(/C=C/c3ccc(O)c(O)c3)oc1=O)OC2c1ccc(O)c(O)c1,,,CHEMBL1151203,J. Nat. Prod.,2004,,CHEMBL487596,INOSCAVIN A,CHEMBL487596,,0,http://www.openphacts.org/units/Nanomolar,715038,>,1,1,>,,IC50,nM,,108.0,CHEMBL614637,Homo sapiens,KETR3,9606,,,IC50,uM,UO_0000065,,0.108
,2316732,[],CHEMBL996436,Cytotoxicity against human Ketr3 cells after 96 hrs by MTT assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)c1c(O)cc(/C=C/c2ccc(O)c(O)c2)oc1=O,,,CHEMBL1151203,J. Nat. Prod.,2004,,CHEMBL470046,PHELLIGRIDIN B,CHEMBL470046,6.84,0,http://www.openphacts.org/units/Nanomolar,714664,=,1,1,=,,IC50,nM,,144.0,CHEMBL614637,Homo sapiens,KETR3,9606,,,IC50,uM,UO_0000065,,0.144
,2316733,[],CHEMBL996436,Cytotoxicity against human Ketr3 cells after 96 hrs by MTT assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)/C=C(O)/C=C/c1ccc(O)c(O)c1,,,CHEMBL1151203,J. Nat. Prod.,2004,,CHEMBL452722,HISPOLON,CHEMBL452722,6.69,0,http://www.openphacts.org/units/Nanomolar,714665,=,1,1,=,,IC50,nM,,206.0,CHEMBL614637,Homo sapiens,KETR3,9606,,,IC50,uM,UO_0000065,,0.206
