activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,109384,[],CHEMBL772391,In vitro antitumor activity against renal RXF 393 tumor cell lines,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=C[C@H]2O[C@@H]3[C@H](O)[C@H]4OC(=O)/C=C\C=C\[C@H]([C@@H](C)O)OCC/C(C)=C/C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1,,,CHEMBL1145117,J. Med. Chem.,2003.0,,CHEMBL335838,,CHEMBL335838,7.24,0,http://www.openphacts.org/units/Nanomolar,263062,=,1,1,=,,IC50,nM,,57.0,CHEMBL614886,Homo sapiens,RXF 393,9606,,,IC50,uM,UO_0000065,,0.057
,112126,[],CHEMBL772391,In vitro antitumor activity against renal RXF 393 tumor cell lines,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=C[C@H]2O[C@@H]3[C@H](O)[C@H]4OC(=O)/C=C\C=C\[C@H]([C@H](C)O)OCC/C(C)=C/C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1,,,CHEMBL1145117,J. Med. Chem.,2003.0,,CHEMBL136268,RORIDIN L,CHEMBL136268,,0,http://www.openphacts.org/units/Nanomolar,263074,>,1,1,>,,IC50,nM,,10000.0,CHEMBL614886,Homo sapiens,RXF 393,9606,,,IC50,uM,UO_0000065,,10.0
,114737,[],CHEMBL772391,In vitro antitumor activity against renal RXF 393 tumor cell lines,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2,,,CHEMBL1145117,J. Med. Chem.,2003.0,,CHEMBL433680,ANGUIDIN,CHEMBL433680,,0,http://www.openphacts.org/units/Nanomolar,263065,<,1,1,<,,IC50,nM,,1.0,CHEMBL614886,Homo sapiens,RXF 393,9606,,,IC50,uM,UO_0000065,,0.001
,116067,[],CHEMBL772391,In vitro antitumor activity against renal RXF 393 tumor cell lines,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=C[C@H]2O[C@@H]3C[C@H]4OC(=O)/C=C\C=C\[C@H]([C@@H](C)O)OCC[C@@H](C)[C@H](O)C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1,,,CHEMBL1145117,J. Med. Chem.,2003.0,,CHEMBL334648,RORIDIN A,CHEMBL334648,8.70,0,http://www.openphacts.org/units/Nanomolar,263070,=,1,1,=,,IC50,nM,,2.0,CHEMBL614886,Homo sapiens,RXF 393,9606,,,IC50,uM,UO_0000065,,0.002
,126134,[],CHEMBL772391,In vitro antitumor activity against renal RXF 393 tumor cell lines,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=C[C@H]2O[C@@H]3[C@H](O)[C@H]4OC(=O)/C=C\C=C\[C@@H]5O[C@H](C/C(C)=C/C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1)O[C@H]5C,,,CHEMBL1145117,J. Med. Chem.,2003.0,,CHEMBL435984,RORIDIN M,CHEMBL435984,5.66,0,http://www.openphacts.org/units/Nanomolar,263064,=,1,1,=,,IC50,nM,,2180.0,CHEMBL614886,Homo sapiens,RXF 393,9606,,,IC50,uM,UO_0000065,,2.18
,126158,[],CHEMBL772391,In vitro antitumor activity against renal RXF 393 tumor cell lines,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=C[C@H]2O[C@@H]3C[C@H]4OC(=O)/C=C\C=C\[C@H]([C@H](C)O)OCC[C@@H](C)[C@H](O)C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1,,,CHEMBL1145117,J. Med. Chem.,2003.0,,CHEMBL341800,"(6'R,13'S) ISORORIDIN A",CHEMBL341800,8.00,0,http://www.openphacts.org/units/Nanomolar,263069,=,1,1,=,,IC50,nM,,10.0,CHEMBL614886,Homo sapiens,RXF 393,9606,,,IC50,uM,UO_0000065,,0.01
,128572,[],CHEMBL772391,In vitro antitumor activity against renal RXF 393 tumor cell lines,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=C[C@H]2OC3C[C@@H](OC(=O)/C=C\C=C\[C@H](O)[C@@H](C)O)[C@@](C)([C@]34CO4)[C@@]2(COC(=O)/C=C(\C)CCO)CC1,,,CHEMBL1145117,J. Med. Chem.,2003.0,,CHEMBL136186,TRICHOVERRIN B,CHEMBL136186,,0,http://www.openphacts.org/units/Nanomolar,263066,>,1,1,>,,IC50,nM,,10000.0,CHEMBL614886,Homo sapiens,RXF 393,9606,,,IC50,uM,UO_0000065,,10.0
,129952,[],CHEMBL772391,In vitro antitumor activity against renal RXF 393 tumor cell lines,F,,,BAO_0000190,BAO_0000219,cell-based format,C/C1=C\C(=O)OC[C@]23CC[C@](C)(O)[C@H]4C[C@@]5(O)[C@H](O[C@H]42)[C@H](O)[C@@H](OC(=O)/C=C\C=C\[C@@H]2O[C@H](C1)O[C@H]2C)[C@@]53C,,,CHEMBL1145117,J. Med. Chem.,2003.0,,CHEMBL2368056,Miophytocen C,CHEMBL2368056,,0,http://www.openphacts.org/units/Nanomolar,263073,>,1,1,>,,IC50,nM,,10000.0,CHEMBL614886,Homo sapiens,RXF 393,9606,,,IC50,uM,UO_0000065,,10.0
,132559,[],CHEMBL772391,In vitro antitumor activity against renal RXF 393 tumor cell lines,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=C[C@H]2O[C@@H]3C[C@H]4OC(=O)/C=C\C=C\C(=O)OCC[C@@H](C)[C@H](O)C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1,,,CHEMBL1145117,J. Med. Chem.,2003.0,,CHEMBL136985,VERRUCARIN A,CHEMBL136985,,0,http://www.openphacts.org/units/Nanomolar,263071,>,1,1,>,,IC50,nM,,10000.0,CHEMBL614886,Homo sapiens,RXF 393,9606,,,IC50,uM,UO_0000065,,10.0
,137272,[],CHEMBL772391,In vitro antitumor activity against renal RXF 393 tumor cell lines,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)OC(C)[C@@H](O)/C=C/C=C\C(=O)O[C@@H]1CC2O[C@@H]3C=C(C)CC[C@]3(COC(=O)/C=C(\C)CCO)[C@]1(C)[C@]21CO1,,,CHEMBL1145117,J. Med. Chem.,2003.0,,CHEMBL335603,13`-ACETYLTRICHOVERRIN B,CHEMBL335603,,0,http://www.openphacts.org/units/Nanomolar,263063,>,1,1,>,,IC50,nM,,10000.0,CHEMBL614886,Homo sapiens,RXF 393,9606,,,IC50,uM,UO_0000065,,10.0
