activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,310514,[],CHEMBL699797,Tested for induction of cellular death in Human renal RXF 944L tumor cell line in Propidium Iodide Monolayer Assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(C=C2c3ccccc3C(=O)c3ccccc32)cc1O,,,CHEMBL1136796,J. Med. Chem.,2003,,CHEMBL116173,,CHEMBL116173,,0,http://www.openphacts.org/units/Nanomolar,215957,<,1,1,<,,IC50,nM,,10.0,CHEMBL614889,Homo sapiens,RXF 944,9606,,,IC50,uM,UO_0000065,,0.01
,311874,[],CHEMBL699797,Tested for induction of cellular death in Human renal RXF 944L tumor cell line in Propidium Iodide Monolayer Assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(C=C2c3ccccc3C(=O)c3ccccc32)ccc1O,,,CHEMBL1136796,J. Med. Chem.,2003,,CHEMBL324797,,CHEMBL324797,5.55,0,http://www.openphacts.org/units/Nanomolar,215956,=,1,1,=,,IC50,nM,,2830.0,CHEMBL614889,Homo sapiens,RXF 944,9606,,,IC50,uM,UO_0000065,,2.83
,311884,[],CHEMBL699797,Tested for induction of cellular death in Human renal RXF 944L tumor cell line in Propidium Iodide Monolayer Assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(C=C2c3ccccc3C(=O)c3ccccc32)cc(OC)c1O,,,CHEMBL1136796,J. Med. Chem.,2003,,CHEMBL321632,,CHEMBL321632,6.82,0,http://www.openphacts.org/units/Nanomolar,215954,=,1,1,=,,IC50,nM,,150.0,CHEMBL614889,Homo sapiens,RXF 944,9606,,,IC50,uM,UO_0000065,,0.15
,311896,[],CHEMBL699797,Tested for induction of cellular death in Human renal RXF 944L tumor cell line in Propidium Iodide Monolayer Assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,,,CHEMBL1136796,J. Med. Chem.,2003,,CHEMBL53463,DOXORUBICIN,CHEMBL53463,7.22,0,http://www.openphacts.org/units/Nanomolar,215964,=,1,1,=,,IC50,nM,,60.0,CHEMBL614889,Homo sapiens,RXF 944,9606,,,IC50,uM,UO_0000065,,0.06
,318244,[],CHEMBL699797,Tested for induction of cellular death in Human renal RXF 944L tumor cell line in Propidium Iodide Monolayer Assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C1c2ccccc2C(=Cc2ccc(O)c(O)c2)c2ccccc21,,,CHEMBL1136796,J. Med. Chem.,2003,,CHEMBL115360,,CHEMBL115360,7.52,0,http://www.openphacts.org/units/Nanomolar,215961,=,1,1,=,,IC50,nM,,30.0,CHEMBL614889,Homo sapiens,RXF 944,9606,,,IC50,uM,UO_0000065,,0.03
,318265,[],CHEMBL699797,Tested for induction of cellular death in Human renal RXF 944L tumor cell line in Propidium Iodide Monolayer Assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(C=C2c3ccccc3C(=O)c3ccccc32)c(OC)c1O,,,CHEMBL1136796,J. Med. Chem.,2003,,CHEMBL112192,,CHEMBL112192,,0,http://www.openphacts.org/units/Nanomolar,215953,<,1,1,<,,IC50,nM,,10.0,CHEMBL614889,Homo sapiens,RXF 944,9606,,,IC50,uM,UO_0000065,,0.01
,325553,[],CHEMBL699797,Tested for induction of cellular death in Human renal RXF 944L tumor cell line in Propidium Iodide Monolayer Assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(C=C2c3ccccc3C(=O)c3ccccc32)cc1,,,CHEMBL1136796,J. Med. Chem.,2003,,CHEMBL112385,,CHEMBL112385,6.16,0,http://www.openphacts.org/units/Nanomolar,215984,=,1,1,=,,IC50,nM,,700.0,CHEMBL614889,Homo sapiens,RXF 944,9606,,,IC50,uM,UO_0000065,,0.7
,329582,[],CHEMBL699797,Tested for induction of cellular death in Human renal RXF 944L tumor cell line in Propidium Iodide Monolayer Assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cccc(C=C2c3ccccc3C(=O)c3ccccc32)c1O,,,CHEMBL1136796,J. Med. Chem.,2003,,CHEMBL115488,,CHEMBL115488,6.44,0,http://www.openphacts.org/units/Nanomolar,215955,=,1,1,=,,IC50,nM,,360.0,CHEMBL614889,Homo sapiens,RXF 944,9606,,,IC50,uM,UO_0000065,,0.36
,684255,[],CHEMBL872005,In vitro inhibitory concentration of compound against human cancer RXF 944 cell line was determined,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,,,CHEMBL1145872,Bioorg. Med. Chem. Lett.,2003,,CHEMBL428647,PACLITAXEL,CHEMBL428647,7.30,0,http://www.openphacts.org/units/Nanomolar,227636,=,1,1,=,,IC50,nM,,50.0,CHEMBL614889,Homo sapiens,RXF 944,9606,,,IC50,uM,UO_0000065,,0.05
,685619,[],CHEMBL872005,In vitro inhibitory concentration of compound against human cancer RXF 944 cell line was determined,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)C3C[C@H](OC(=O)[C@H](OC(=O)c4ccc(C(C)=O)cc4)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)COC1C[C@@H]2O,,,CHEMBL1145872,Bioorg. Med. Chem. Lett.,2003,,CHEMBL384552,,CHEMBL384552,7.05,0,http://www.openphacts.org/units/Nanomolar,227637,=,1,1,=,,IC50,nM,,90.0,CHEMBL614889,Homo sapiens,RXF 944,9606,,,IC50,uM,UO_0000065,,0.09
