activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,161592,[],CHEMBL813917,Compound was evaluated for in vitro activity against TK-10 kidney cell lines (Human tumor cells ),F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1c(CNc2ccc(C(=O)NC(CCCNC(=O)c3ccccc3C(=O)O)C(=O)O)cc2)cnc2nc(N)nc(N)c12,,,CHEMBL1131440,J. Med. Chem.,1998.0,,CHEMBL150607,,CHEMBL150607,,0,http://www.openphacts.org/units/Nanomolar,293399,>,1,1,>,,IC50,nM,,1000.0,CHEMBL614056,Homo sapiens,TK-10,9606,,,IC50,nM,UO_0000065,,1000.0
,162841,[],CHEMBL812153,Compound was evaluated for in vitro activity against TK-10 kidney cell lines (Human tumor cells ),F,,,BAO_0000190,BAO_0000219,cell-based format,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,,,CHEMBL1131440,J. Med. Chem.,1998.0,,CHEMBL34259,METHOTREXATE,CHEMBL34259,,0,http://www.openphacts.org/units/Nanomolar,293392,>,1,1,>,,IC50,nM,,1000.0,CHEMBL614056,Homo sapiens,TK-10,9606,,,IC50,nM,UO_0000065,,1000.0
,167769,[],CHEMBL812153,Compound was evaluated for in vitro activity against TK-10 kidney cell lines (Human tumor cells ),F,,,BAO_0000190,BAO_0000219,cell-based format,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCCNC(=O)c4ccccc4C(=O)O)C(=O)O)cc3)cnc2n1,,,CHEMBL1131440,J. Med. Chem.,1998.0,,CHEMBL18155,,CHEMBL18155,8.02,0,http://www.openphacts.org/units/Nanomolar,293397,=,1,1,=,,IC50,nM,,9.6,CHEMBL614056,Homo sapiens,TK-10,9606,,,IC50,nM,UO_0000065,,9.6
,896492,[],CHEMBL810195,"Cytotoxicity against NCI tumor panel, TK10 renal cancer cell line",F,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)Nc1ccc2[nH]c(C(=O)Nc3ccc4[nH]c(C(=O)N5CC(CCl)c6c5cc(O)c5ccccc65)cc4c3)cc2c1,,,CHEMBL1133719,J. Med. Chem.,2000.0,,CHEMBL38957,,CHEMBL38957,8.50,0,http://www.openphacts.org/units/Nanomolar,61982,=,1,1,=,,IC50,nM,,3.13,CHEMBL614056,Homo sapiens,TK-10,9606,,,IC50,nM,UO_0000065,,3.13
,1939718,[],CHEMBL893663,Growth inhibition of TK10 cells by sulforhodamine assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(/C=C/c1ccccc1)c1ccccc1,,,CHEMBL1147926,Bioorg. Med. Chem.,2007.0,,CHEMBL7976,CHALCONE,CHEMBL7976,4.38,0,http://www.openphacts.org/units/Nanomolar,651177,=,1,1,=,,IC50,nM,,42000.0,CHEMBL614056,Homo sapiens,TK-10,9606,,,IC50,uM,UO_0000065,,42.0
,1939722,[],CHEMBL893663,Growth inhibition of TK10 cells by sulforhodamine assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(/C=C/c1ccccn1)c1ccccc1O,,,CHEMBL1147926,Bioorg. Med. Chem.,2007.0,,CHEMBL397027,,CHEMBL397027,4.91,0,http://www.openphacts.org/units/Nanomolar,651209,=,1,1,=,,IC50,nM,,12200.0,CHEMBL614056,Homo sapiens,TK-10,9606,,,IC50,uM,UO_0000065,,12.2
,1939723,[],CHEMBL893663,Growth inhibition of TK10 cells by sulforhodamine assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(/C=C/C(=O)c2ccccc2O)cc1OC,,,CHEMBL1147926,Bioorg. Med. Chem.,2007.0,,CHEMBL389328,,CHEMBL389328,4.05,0,http://www.openphacts.org/units/Nanomolar,651200,=,1,1,=,,IC50,nM,,90000.0,CHEMBL614056,Homo sapiens,TK-10,9606,,,IC50,uM,UO_0000065,,90.0
,1939724,[],CHEMBL893663,Growth inhibition of TK10 cells by sulforhodamine assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(/C=C/C(=O)c2ccccc2O)cc1,,,CHEMBL1147926,Bioorg. Med. Chem.,2007.0,,CHEMBL241862,,CHEMBL241862,4.17,0,http://www.openphacts.org/units/Nanomolar,651194,=,1,1,=,,IC50,nM,,67000.0,CHEMBL614056,Homo sapiens,TK-10,9606,,,IC50,uM,UO_0000065,,67.0
,1939725,[],CHEMBL893663,Growth inhibition of TK10 cells by sulforhodamine assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(/C=C/c1ccccc1)c1ccccc1O,,,CHEMBL1147926,Bioorg. Med. Chem.,2007.0,,CHEMBL32147,2'-HYDROXYCHALCONE,CHEMBL32147,4.10,0,http://www.openphacts.org/units/Nanomolar,651184,=,1,1,=,,IC50,nM,,79000.0,CHEMBL614056,Homo sapiens,TK-10,9606,,,IC50,uM,UO_0000065,,79.0
,1939726,[],CHEMBL893663,Growth inhibition of TK10 cells by sulforhodamine assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(/C=C/C(=O)c2ccccc2)cc1,,,CHEMBL1147926,Bioorg. Med. Chem.,2007.0,,CHEMBL105496,4-METHOXY CHALCONE,CHEMBL105496,4.28,0,http://www.openphacts.org/units/Nanomolar,651181,=,1,1,=,,IC50,nM,,53000.0,CHEMBL614056,Homo sapiens,TK-10,9606,,,IC50,uM,UO_0000065,,53.0
